n,lambda_parameter,execution_model,p1_physical_copies,p2_physical_copies,p3_physical_copies,total_message_state_preparations,message_physical_qubit_instances,s2_bell_pairs,s4_bell_pairs,s6_bell_pairs,total_bell_pairs,total_bell_qubits,fresh_qotp_key_bits,quantum_transmitted_qubits,classical_transmitted_bits,teleportation_operations,s5_controlled_swap_gates,s7_controlled_swap_gates,total_controlled_swap_gates,teleportation_measurements,swap_test_measurements,total_measurements,bell_pair_preparation_gates,qotp_unitary_applications,total_modeled_operations,peak_live_qubits,fixed_lambda_scaling_in_n,joint_lambda_n_scaling
9,4,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",9,4,4,17,153,81,81,45,207,414,2628,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,207,36,36,72,414,8,422,414,900,2168,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
9,8,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",17,8,8,33,297,153,153,81,387,774,4932,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,387,72,72,144,774,16,790,774,1692,4084,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
10,1,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",3,1,1,5,50,30,30,20,80,160,1000,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,80,10,10,20,160,2,162,160,340,812,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
10,2,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",5,2,2,9,90,50,50,30,130,260,1640,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,130,20,20,40,260,4,264,260,560,1344,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
10,4,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",9,4,4,17,170,90,90,50,230,460,2920,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,230,40,40,80,460,8,468,460,1000,2408,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
10,8,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",17,8,8,33,330,170,170,90,430,860,5480,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,430,80,80,160,860,16,876,860,1880,4536,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
11,1,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",3,1,1,5,55,33,33,22,88,176,1100,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,88,11,11,22,176,2,178,176,374,893,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
11,2,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",5,2,2,9,99,55,55,33,143,286,1804,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,143,22,22,44,286,4,290,286,616,1478,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
11,4,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",9,4,4,17,187,99,99,55,253,506,3212,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,253,44,44,88,506,8,514,506,1100,2648,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
11,8,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",17,8,8,33,363,187,187,99,473,946,6028,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,473,88,88,176,946,16,962,946,2068,4988,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
12,1,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",3,1,1,5,60,36,36,24,96,192,1200,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,96,12,12,24,192,2,194,192,408,974,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
12,2,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",5,2,2,9,108,60,60,36,156,312,1968,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,156,24,24,48,312,4,316,312,672,1612,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
12,4,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",9,4,4,17,204,108,108,60,276,552,3504,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,276,48,48,96,552,8,560,552,1200,2888,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
12,8,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",17,8,8,33,396,204,204,108,516,1032,6576,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,516,96,96,192,1032,16,1048,1032,2256,5440,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
13,1,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",3,1,1,5,65,39,39,26,104,208,1300,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,104,13,13,26,208,2,210,208,442,1055,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
13,2,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",5,2,2,9,117,65,65,39,169,338,2132,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,169,26,26,52,338,4,342,338,728,1746,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
13,4,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",9,4,4,17,221,117,117,65,299,598,3796,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,299,52,52,104,598,8,606,598,1300,3128,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
13,8,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",17,8,8,33,429,221,221,117,559,1118,7124,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,559,104,104,208,1118,16,1134,1118,2444,5892,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
14,1,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",3,1,1,5,70,42,42,28,112,224,1400,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,112,14,14,28,224,2,226,224,476,1136,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
14,2,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",5,2,2,9,126,70,70,42,182,364,2296,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,182,28,28,56,364,4,368,364,784,1880,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
14,4,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",9,4,4,17,238,126,126,70,322,644,4088,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,322,56,56,112,644,8,652,644,1400,3368,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
14,8,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",17,8,8,33,462,238,238,126,602,1204,7672,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,602,112,112,224,1204,16,1220,1204,2632,6344,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
15,1,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",3,1,1,5,75,45,45,30,120,240,1500,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,120,15,15,30,240,2,242,240,510,1217,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
15,2,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",5,2,2,9,135,75,75,45,195,390,2460,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,195,30,30,60,390,4,394,390,840,2014,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
15,4,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",9,4,4,17,255,135,135,75,345,690,4380,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,345,60,60,120,690,8,698,690,1500,3608,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
15,8,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",17,8,8,33,495,255,255,135,645,1290,8220,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,645,120,120,240,1290,16,1306,1290,2820,6796,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
16,1,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",3,1,1,5,80,48,48,32,128,256,1600,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,128,16,16,32,256,2,258,256,544,1298,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
16,2,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",5,2,2,9,144,80,80,48,208,416,2624,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,208,32,32,64,416,4,420,416,896,2148,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
16,4,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",9,4,4,17,272,144,144,80,368,736,4672,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,368,64,64,128,736,8,744,736,1600,3848,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
16,8,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",17,8,8,33,528,272,272,144,688,1376,8768,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,688,128,128,256,1376,16,1392,1376,3008,7248,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
17,1,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",3,1,1,5,85,51,51,34,136,272,1700,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,136,17,17,34,272,2,274,272,578,1379,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
17,2,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",5,2,2,9,153,85,85,51,221,442,2788,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,221,34,34,68,442,4,446,442,952,2282,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
17,4,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",9,4,4,17,289,153,153,85,391,782,4964,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,391,68,68,136,782,8,790,782,1700,4088,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
17,8,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",17,8,8,33,561,289,289,153,731,1462,9316,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,731,136,136,272,1462,16,1478,1462,3196,7700,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
18,1,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",3,1,1,5,90,54,54,36,144,288,1800,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,144,18,18,36,288,2,290,288,612,1460,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
