engine,input_state,m,shots_per_instance,circuit_instances,valid_expected_outputs,expected_measurement_distribution,dominant_output_probability,logical_success_probability,absolute_difference_between_metrics,relative_difference_between_metrics,interpretation,counts_per_instance_json
BasicSimulator,+,8,4096,8,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}]"
BasicSimulator,-,1,4096,1,"[""100""]","{""100"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""100"": 4096}]"
BasicSimulator,-,2,4096,2,"[""100""]","{""100"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""100"": 4096}, {""100"": 4096}]"
BasicSimulator,-,4,4096,4,"[""100""]","{""100"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""100"": 4096}, {""100"": 4096}, {""100"": 4096}, {""100"": 4096}]"
BasicSimulator,-,8,4096,8,"[""100""]","{""100"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""100"": 4096}, {""100"": 4096}, {""100"": 4096}, {""100"": 4096}, {""100"": 4096}, {""100"": 4096}, {""100"": 4096}, {""100"": 4096}]"
BasicSimulator,i+,1,4096,1,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}]"
BasicSimulator,i+,2,4096,2,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}, {""000"": 4096}]"
BasicSimulator,i+,4,4096,4,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}]"
BasicSimulator,i+,8,4096,8,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}]"
BasicSimulator,i-,1,4096,1,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}]"
BasicSimulator,i-,2,4096,2,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}, {""000"": 4096}]"
BasicSimulator,i-,4,4096,4,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}]"
BasicSimulator,i-,8,4096,8,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}]"
BasicSimulator,global_phase_i+,1,4096,1,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}]"
BasicSimulator,global_phase_i+,2,4096,2,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}, {""000"": 4096}]"
BasicSimulator,global_phase_i+,4,4096,4,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}]"
BasicSimulator,global_phase_i+,8,4096,8,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}]"
AerSimulator-ideal,0,1,4096,1,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}]"
AerSimulator-ideal,0,2,4096,2,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}, {""000"": 4096}]"
AerSimulator-ideal,0,4,4096,4,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}]"
AerSimulator-ideal,0,8,4096,8,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}]"
AerSimulator-ideal,1,1,4096,1,"[""100""]","{""100"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""100"": 4096}]"
AerSimulator-ideal,1,2,4096,2,"[""100""]","{""100"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""100"": 4096}, {""100"": 4096}]"
AerSimulator-ideal,1,4,4096,4,"[""100""]","{""100"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""100"": 4096}, {""100"": 4096}, {""100"": 4096}, {""100"": 4096}]"
AerSimulator-ideal,1,8,4096,8,"[""100""]","{""100"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""100"": 4096}, {""100"": 4096}, {""100"": 4096}, {""100"": 4096}, {""100"": 4096}, {""100"": 4096}, {""100"": 4096}, {""100"": 4096}]"
AerSimulator-ideal,+,1,4096,1,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}]"
AerSimulator-ideal,+,2,4096,2,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}, {""000"": 4096}]"
AerSimulator-ideal,+,4,4096,4,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}]"
AerSimulator-ideal,+,8,4096,8,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}]"
AerSimulator-ideal,-,1,4096,1,"[""100""]","{""100"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""100"": 4096}]"
AerSimulator-ideal,-,2,4096,2,"[""100""]","{""100"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""100"": 4096}, {""100"": 4096}]"
AerSimulator-ideal,-,4,4096,4,"[""100""]","{""100"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""100"": 4096}, {""100"": 4096}, {""100"": 4096}, {""100"": 4096}]"
AerSimulator-ideal,-,8,4096,8,"[""100""]","{""100"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""100"": 4096}, {""100"": 4096}, {""100"": 4096}, {""100"": 4096}, {""100"": 4096}, {""100"": 4096}, {""100"": 4096}, {""100"": 4096}]"
AerSimulator-ideal,i+,1,4096,1,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}]"
AerSimulator-ideal,i+,2,4096,2,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}, {""000"": 4096}]"
AerSimulator-ideal,i+,4,4096,4,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}]"
AerSimulator-ideal,i+,8,4096,8,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}]"
AerSimulator-ideal,i-,1,4096,1,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}]"
AerSimulator-ideal,i-,2,4096,2,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}, {""000"": 4096}]"
AerSimulator-ideal,i-,4,4096,4,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}]"
AerSimulator-ideal,i-,8,4096,8,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}]"
AerSimulator-ideal,global_phase_i+,1,4096,1,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}]"
AerSimulator-ideal,global_phase_i+,2,4096,2,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}, {""000"": 4096}]"
AerSimulator-ideal,global_phase_i+,4,4096,4,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}]"
AerSimulator-ideal,global_phase_i+,8,4096,8,"[""000""]","{""000"": 1.0}",1.0,1.0,0.0,0.0,Logical success is evaluated over the input-dependent valid-output set; the dominant output is a separate diagnostic.,"[{""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}, {""000"": 4096}]"
